0,Computer Hardware Engineers
1,"Electronics Engineers, Except Computer"
2,Automotive Engineers
3,Aerospace Engineering and Operations Technicians
4,Mechanical Engineers
5,Chemical Engineers
6,Architectural and Engineering Managers
7,Nuclear Engineers
8,Transportation Engineers
9,Wind Energy Engineers
10,Mechatronics Engineers
11,Electrical Engineering Technologists
12,Agricultural Engineers
13,Petroleum Engineers
14,Aerospace Engineers
15,Water/Wastewater Engineers
16,Manufacturing Engineering Technologists
17,Nanosystems Engineers
18,Fuel Cell Engineers
19,Photonics Engineers
20,Manufacturing Engineers
21,Mechanical Engineering Technologists
22,Electrical Engineers
23,Materials Engineers
24,Fire-Prevention and Protection Engineers
25,Civil Engineers
26,Marine Architects
27,"Mining and Geological Engineers, Including Mining Safety Engineers"
28,Robotics Engineers
29,Traffic Technicians
30,"Engineering Teachers, Postsecondary"
31,Radio Frequency Identification Device Specialists
32,Marine Engineers
33,Environmental Engineers
34,Biomedical Engineers
35,Commercial and Industrial Designers
36,Materials Scientists
37,Energy Engineers
38,Biochemical Engineers
39,Industrial Engineers
40,Industrial Safety and Health Engineers
41,Electronic Drafters
42,Water Resource Specialists
43,Electronics Engineering Technicians
44,Electronics Engineering Technologists
45,Solar Energy Systems Engineers
46,Product Safety Engineers
47,Surveyors
48,Industrial Engineering Technologists
49,Electromechanical Engineering Technologists
50,Mechanical Drafters
51,Computer Systems Engineers/Architects
52,Validation Engineers
53,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
54,Robotics Technicians
55,Mechanical Engineering Technicians
56,"Architecture Teachers, Postsecondary"
57,Physicists
58,Electrical Engineering Technicians
59,Industrial Engineering Technicians
60,Construction Managers
61,Electrical Drafters
62,Solar Thermal Installers and Technicians
63,Tool and Die Makers
64,Logistics Engineers
65,Hydrologists
66,Broadcast Technicians
67,Human Factors Engineers and Ergonomists
68,Biofuels/Biodiesel Technology and Product Development Managers
69,"Software Developers, Systems Software"
70,Geophysical Data Technicians
71,Radio Mechanics
72,Photonics Technicians
73,Ship Engineers
74,"Radio, Cellular, and Tower Equipment Installers and Repairers"
75,Solar Energy Installation Managers
76,Architectural Drafters
77,Electronic Home Entertainment Equipment Installers and Repairers
78,Civil Drafters
79,Civil Engineering Technicians
80,Manufacturing Production Technicians
81,Security Management Specialists
82,Geodetic Surveyors
83,Industrial Ecologists
84,Cost Estimators
85,Geothermal Production Managers
86,Aquacultural Managers
87,Government Property Inspectors and Investigators
88,Biomass Power Plant Managers
89,"Computer Science Teachers, Postsecondary"
90,Avionics Technicians
91,"Model Makers, Wood"
92,Sound Engineering Technicians
93,Construction and Building Inspectors
94,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
95,Environmental Engineering Technicians
96,Wind Turbine Service Technicians
97,Telecommunications Engineering Specialists
98,Food Scientists and Technologists
99,Surveying Technicians
100,Industrial Machinery Mechanics
101,Occupational Health and Safety Specialists
102,Sales Engineers
103,Aviation Inspectors
104,"Electronic Equipment Installers and Repairers, Motor Vehicles"
105,Solar Sales Representatives and Assessors
106,"First-Line Supervisors of Mechanics, Installers, and Repairers"
107,Automotive Master Mechanics
108,Software Quality Assurance Engineers and Testers
109,"Architects, Except Landscape and Naval"
110,Manufactured Building and Mobile Home Installers
111,"Patternmakers, Metal and Plastic"
112,Brownfield Redevelopment Specialists and Site Managers
113,Landscape Architects
114,Non-Destructive Testing Specialists
115,Nuclear Power Reactor Operators
116,Prosthodontists
117,Computer Network Architects
118,Electro-Mechanical Technicians
119,Medical Equipment Repairers
120,Mathematicians
121,Industrial Production Managers
122,Remote Sensing Technicians
123,Dental Laboratory Technicians
124,Refrigeration Mechanics and Installers
125,Bicycle Repairers
126,Remote Sensing Scientists and Technologists
127,Nuclear Equipment Operation Technicians
